booking_id,user_id,place_of_visit,duration_of_visit,start_date,end_date,overall_budget
1,610,Mysore,2,2024-09-01,2024-09-03,INR 47365
2,640,Bali,5,2023-10-20,2023-10-25,INR 86545
3,175,London,10,2024-08-30,2024-09-09,INR 99318
4,580,Bangkok,3,2025-04-26,2025-04-29,INR 136480
5,556,Mysore,6,2024-01-16,2024-01-22,INR 106603
6,481,New York,4,2023-09-08,2023-09-12,INR 6083
7,984,Sydney,4,2024-12-11,2024-12-15,INR 143076
8,195,New York,14,2025-04-17,2025-05-01,INR 72264
9,36,London,8,2025-05-30,2025-06-07,INR 68208
10,122,Leh,9,2023-12-01,2023-12-10,INR 33835
11,230,Agra,9,2024-02-06,2024-02-15,INR 107590
12,780,Singapore,8,2024-01-26,2024-02-03,INR 16859
13,146,Tokyo,8,2024-04-06,2024-04-14,INR 56130
14,426,Tokyo,8,2024-04-29,2024-05-07,INR 28913
15,699,London,5,2024-06-05,2024-06-10,INR 145775
16,406,New York,2,2024-04-09,2024-04-11,INR 50602
17,662,Manali,5,2025-03-14,2025-03-19,INR 62277
18,101,New York,10,2024-06-04,2024-06-14,INR 31086
19,16,Manali,12,2024-06-10,2024-06-22,INR 17114
20,824,Dubai,5,2025-05-09,2025-05-14,INR 9022
21,527,Dubai,15,2024-05-25,2024-06-09,INR 81684
22,540,New York,8,2023-11-17,2023-11-25,INR 148193
23,709,Kerala,2,2025-01-17,2025-01-19,INR 134612
24,197,Rishikesh,13,2024-11-06,2024-11-19,INR 10982
25,623,Bangkok,2,2023-10-14,2023-10-16,INR 111439
26,68,Goa,5,2025-06-28,2025-07-03,INR 7440
27,225,Sydney,11,2023-10-27,2023-11-07,INR 50321
28,315,Jaipur,8,2024-03-12,2024-03-20,INR 8578
29,16,Singapore,15,2025-03-17,2025-04-01,INR 131172
30,978,New York,5,2024-11-09,2024-11-14,INR 143840
31,780,Jaipur,9,2025-05-03,2025-05-12,INR 74703
32,649,Rome,2,2024-05-09,2024-05-11,INR 76386
33,555,Kerala,13,2024-02-19,2024-03-03,INR 112939
34,952,New York,10,2024-11-11,2024-11-21,INR 11888
35,787,Rishikesh,5,2023-10-10,2023-10-15,INR 44037
36,405,Mysore,15,2024-09-27,2024-10-12,INR 21781
37,725,Agra,3,2024-06-23,2024-06-26,INR 118995
38,746,Rishikesh,3,2024-12-13,2024-12-16,INR 81725
39,866,Leh,10,2024-04-20,2024-04-30,INR 40497
40,777,Tokyo,7,2025-03-19,2025-03-26,INR 103288
41,238,Bali,11,2024-12-02,2024-12-13,INR 115371
42,167,Rishikesh,5,2024-01-30,2024-02-04,INR 111553
43,995,Bangkok,4,2025-05-29,2025-06-02,INR 139841
44,393,Varanasi,9,2023-12-11,2023-12-20,INR 15035
45,658,Paris,13,2024-03-20,2024-04-02,INR 32875
46,920,Bali,11,2024-04-08,2024-04-19,INR 90928
47,785,Varanasi,14,2024-09-16,2024-09-30,INR 119715
48,256,Mysore,5,2025-06-07,2025-06-12,INR 114349
49,804,Bangkok,5,2024-03-17,2024-03-22,INR 10531
50,841,Bangkok,15,2024-04-01,2024-04-16,INR 140608
51,726,Rome,7,2025-06-12,2025-06-19,INR 29676
52,765,Manali,11,2024-06-03,2024-06-14,INR 102941
53,53,Tokyo,12,2025-04-27,2025-05-09,INR 48477
54,581,Rishikesh,8,2024-07-08,2024-07-16,INR 76713
55,451,Leh,11,2024-07-22,2024-08-02,INR 55277
56,180,New York,4,2024-10-03,2024-10-07,INR 33913
57,739,Mysore,5,2023-09-01,2023-09-06,INR 83143
58,912,Singapore,4,2025-04-12,2025-04-16,INR 25267
59,867,Rome,7,2024-02-05,2024-02-12,INR 131974
60,993,Mysore,14,2024-01-03,2024-01-17,INR 89247
61,644,Shimla,13,2024-08-09,2024-08-22,INR 94603
62,615,Bali,10,2025-04-20,2025-04-30,INR 53381
63,473,Sydney,7,2024-06-18,2024-06-25,INR 92184
64,658,Paris,4,2025-07-04,2025-07-08,INR 37076
65,637,Rome,7,2024-10-05,2024-10-12,INR 90381
66,60,Goa,3,2025-05-28,2025-05-31,INR 104426
67,262,Bangkok,9,2025-01-31,2025-02-09,INR 148348
68,636,Singapore,9,2024-02-16,2024-02-25,INR 37355
69,971,Kerala,10,2024-04-20,2024-04-30,INR 31715
70,608,London,13,2025-05-23,2025-06-05,INR 30027
71,127,Sydney,7,2025-05-07,2025-05-14,INR 122328
72,223,Manali,14,2025-08-07,2025-08-21,INR 136315
73,855,Paris,6,2024-11-17,2024-11-23,INR 9463
74,551,Mysore,8,2024-12-31,2025-01-08,INR 146487
75,987,London,14,2025-03-16,2025-03-30,INR 93769
76,1,Goa,4,2023-11-11,2023-11-15,INR 142829
77,514,Rishikesh,11,2025-05-26,2025-06-06,INR 76341
78,704,Jaipur,15,2025-05-26,2025-06-10,INR 67938
79,292,Paris,7,2025-06-16,2025-06-23,INR 33837
80,113,Bali,12,2024-10-19,2024-10-31,INR 111045
81,508,Shimla,11,2024-02-02,2024-02-13,INR 101225
82,762,Dubai,2,2025-06-25,2025-06-27,INR 139879
83,135,Mysore,6,2025-06-17,2025-06-23,INR 63583
84,138,Kerala,3,2025-05-20,2025-05-23,INR 56994
85,900,Leh,3,2025-06-13,2025-06-16,INR 147925
86,775,Bali,2,2024-08-01,2024-08-03,INR 60102
87,640,Leh,5,2024-01-01,2024-01-06,INR 70061
88,552,Dubai,11,2025-03-20,2025-03-31,INR 52703
89,327,Dubai,5,2023-10-02,2023-10-07,INR 23599
90,920,Tokyo,12,2024-06-23,2024-07-05,INR 37321
91,933,Varanasi,6,2024-03-15,2024-03-21,INR 21861
92,962,Singapore,7,2025-03-08,2025-03-15,INR 39098
93,74,Jaipur,6,2024-09-22,2024-09-28,INR 53005
94,23,Manali,4,2024-07-30,2024-08-03,INR 130843
95,325,Dubai,7,2023-11-22,2023-11-29,INR 16498
96,627,Dubai,5,2024-09-19,2024-09-24,INR 38650
97,69,Bali,11,2024-04-24,2024-05-05,INR 40492
98,604,Goa,6,2023-12-23,2023-12-29,INR 48422
99,902,Shimla,9,2025-05-13,2025-05-22,INR 5630
100,170,Varanasi,15,2024-02-24,2024-03-10,INR 11244
101,146,Leh,6,2024-03-15,2024-03-21,INR 25674
102,371,Paris,3,2025-03-17,2025-03-20,INR 54522
103,967,Paris,14,2025-06-24,2025-07-08,INR 28445
104,826,New York,10,2024-09-05,2024-09-15,INR 62915
105,818,Bangkok,7,2024-01-07,2024-01-14,INR 62209
106,701,Paris,7,2025-06-29,2025-07-06,INR 107593
107,509,Manali,13,2025-04-14,2025-04-27,INR 139029
108,319,Mysore,4,2025-04-22,2025-04-26,INR 44828
109,43,New York,10,2024-01-18,2024-01-28,INR 86804
110,968,Mysore,15,2024-11-09,2024-11-24,INR 88511
111,133,New York,5,2024-03-06,2024-03-11,INR 89491
112,470,Kerala,6,2025-07-08,2025-07-14,INR 91678
113,298,Kerala,13,2025-01-18,2025-01-31,INR 108226
114,853,Bali,10,2024-08-15,2024-08-25,INR 29624
115,841,Varanasi,13,2023-08-11,2023-08-24,INR 49642
116,943,London,4,2025-01-04,2025-01-08,INR 9871
117,976,London,12,2024-05-01,2024-05-13,INR 149435
118,257,Agra,9,2025-01-23,2025-02-01,INR 39548
119,452,Dubai,14,2024-01-26,2024-02-09,INR 70369
120,255,Jaipur,14,2024-05-09,2024-05-23,INR 55651
121,273,Sydney,12,2024-09-02,2024-09-14,INR 6204
122,662,Kerala,4,2024-12-20,2024-12-24,INR 102250
123,452,Manali,10,2024-02-20,2024-03-01,INR 76015
124,274,Kerala,7,2025-05-12,2025-05-19,INR 70262
125,933,Kerala,11,2024-08-12,2024-08-23,INR 40590
126,473,Leh,15,2025-04-08,2025-04-23,INR 13817
127,419,Goa,14,2023-11-19,2023-12-03,INR 123345
128,18,Jaipur,4,2024-10-13,2024-10-17,INR 61957
129,71,Paris,3,2023-09-04,2023-09-07,INR 33191
130,764,Leh,9,2024-08-12,2024-08-21,INR 69924
131,535,Leh,2,2024-12-10,2024-12-12,INR 10333
132,591,Bangkok,12,2024-03-28,2024-04-09,INR 130409
133,745,Sydney,11,2024-03-12,2024-03-23,INR 8677
134,429,Singapore,8,2025-07-09,2025-07-17,INR 7576
135,283,Kerala,4,2024-12-09,2024-12-13,INR 142809
136,184,Bali,3,2025-03-24,2025-03-27,INR 149196
137,758,Tokyo,4,2025-05-11,2025-05-15,INR 74787
138,311,Bali,6,2024-02-23,2024-02-29,INR 85289
139,433,Leh,12,2023-09-10,2023-09-22,INR 81118
140,987,Goa,7,2023-12-23,2023-12-30,INR 17012
141,10,London,7,2025-03-17,2025-03-24,INR 82139
142,94,Paris,7,2023-10-17,2023-10-24,INR 36144
143,87,Dubai,9,2024-11-06,2024-11-15,INR 147557
144,759,Goa,14,2024-02-25,2024-03-10,INR 73687
145,956,Manali,8,2024-03-28,2024-04-05,INR 86442
146,973,Manali,12,2024-01-17,2024-01-29,INR 66974
147,938,Mysore,15,2024-09-13,2024-09-28,INR 89797
148,908,Singapore,3,2023-11-29,2023-12-02,INR 127365
149,637,New York,10,2024-05-31,2024-06-10,INR 54490
150,35,New York,6,2023-11-28,2023-12-04,INR 117258
151,217,Mysore,14,2024-01-20,2024-02-03,INR 147556
